"Re","Im","Norm","Order"
9.8422,0,9.8422,1
-8.7332,0,8.7332,2
7.5302,0,7.5302,3
-7.4229,0,7.4229,4
5.7349,0,5.7349,5
-5.4465,0,5.4465,6
-4.7762,0,4.7762,7
4.2281,0,4.2281,8
3.8476,0,3.8476,9
-3.5039,0,3.5039,10
-2.4903,0,2.4903,11
1.8318,0,1.8318,12
-1.4543,0,1.4543,13
0.9051,0,0.9051,14
-0.5213,0,0.5213,15
10.2614,0,10.2614,1
-9.1717,0,9.1717,2
7.9505,0,7.9505,3
-7.5262,0,7.5262,4
6.3239,0,6.3239,5
-6.0341,0,6.0341,6
5.2836,0,5.2836,7
-5.2062,0,5.2062,8
4.0357,0,4.0357,9
-3.9093,0,3.9093,10
2.7884,0,2.7884,11
-2.1553,0,2.1553,12
1.0873,0,1.0873,13
-0.9514,0,0.9514,14
-0.3359,0,0.3359,15
-9.4183,0,9.4183,1
9.1266,0,9.1266,2
-8.188,0,8.188,3
7.3967,0,7.3967,4
-6.952,0,6.952,5
6.0994,0,6.0994,6
-5.3827,0,5.3827,7
4.9291,0,4.9291,8
-3.695,0,3.695,9
3.338,0,3.338,10
-2.5649,0,2.5649,11
2.2268,0,2.2268,12
-1.3247,0,1.3247,13
0.7709,0,0.7709,14
-0.4953,0,0.4953,15
9.7226,0,9.7226,1
-8.9794,0,8.9794,2
-7.772,0,7.772,3
7.4076,0,7.4076,4
-7.0529,0,7.0529,5
5.8229,0,5.8229,6
-5.4199,0,5.4199,7
4.3109,0,4.3109,8
-3.889,0,3.889,9
3.5305,0,3.5305,10
-2.4552,0,2.4552,11
1.792,0,1.792,12
-1.6851,0,1.6851,13
0.9432,0,0.9432,14
-0.0321,0,0.0321,15
8.7043,0,8.7043,1
-7.7106,0,7.7106,2
-7.085,0,7.085,3
6.9338,0,6.9338,4
6.2722,0,6.2722,5
-5.1814,0,5.1814,6
4.4597,0,4.4597,7
-4.2362,0,4.2362,8
3.512,0,3.512,9
-3.1846,0,3.1846,10
2.6905,0,2.6905,11
-2.6,0,2.6,12
-1.525,0,1.525,13
1.393,0,1.393,14
-0.0254,0,0.0254,15
-10.2652,0,10.2652,1
8.9198,0,8.9198,2
-7.1277,0,7.1277,3
7.0392,0,7.0392,4
-6.0095,0,6.0095,5
5.884,0,5.884,6
-5.0704,0,5.0704,7
4.5408,0,4.5408,8
-3.5772,0,3.5772,9
3.4349,0,3.4349,10
2.3692,0,2.3692,11
-2.3305,0,2.3305,12
1.6497,0,1.6497,13
-0.9295,0,0.9295,14
0.6872,0,0.6872,15
