"Re","Im","Norm","Order"
9.8422,0,9.8422,1
7.5302,0,7.5302,2
5.7349,0,5.7349,3
4.2281,0,4.2281,4
3.8476,0,3.8476,5
1.8318,0,1.8318,6
0.9051,0,0.9051,7
-0.5213,0,0.5213,8
-1.4543,0,1.4543,9
-2.4903,0,2.4903,10
-3.5039,0,3.5039,11
-4.7762,0,4.7762,12
-5.4465,0,5.4465,13
-7.4229,0,7.4229,14
-8.7332,0,8.7332,15
10.2614,0,10.2614,1
7.9505,0,7.9505,2
6.3239,0,6.3239,3
5.2836,0,5.2836,4
4.0357,0,4.0357,5
2.7884,0,2.7884,6
1.0873,0,1.0873,7
-0.3359,0,0.3359,8
-0.9514,0,0.9514,9
-2.1553,0,2.1553,10
-3.9093,0,3.9093,11
-5.2062,0,5.2062,12
-6.0341,0,6.0341,13
-7.5262,0,7.5262,14
-9.1717,0,9.1717,15
9.1266,0,9.1266,1
7.3967,0,7.3967,2
6.0994,0,6.0994,3
4.9291,0,4.9291,4
3.338,0,3.338,5
2.2268,0,2.2268,6
0.7709,0,0.7709,7
-0.4953,0,0.4953,8
-1.3247,0,1.3247,9
-2.5649,0,2.5649,10
-3.695,0,3.695,11
-5.3827,0,5.3827,12
-6.952,0,6.952,13
-8.188,0,8.188,14
-9.4183,0,9.4183,15
9.7226,0,9.7226,1
7.4076,0,7.4076,2
5.8229,0,5.8229,3
4.3109,0,4.3109,4
3.5305,0,3.5305,5
1.792,0,1.792,6
0.9432,0,0.9432,7
-0.0321,0,0.0321,8
-1.6851,0,1.6851,9
-2.4552,0,2.4552,10
-3.889,0,3.889,11
-5.4199,0,5.4199,12
-7.0529,0,7.0529,13
-7.772,0,7.772,14
-8.9794,0,8.9794,15
8.7043,0,8.7043,1
6.9338,0,6.9338,2
6.2722,0,6.2722,3
4.4597,0,4.4597,4
3.512,0,3.512,5
2.6905,0,2.6905,6
1.393,0,1.393,7
-0.0254,0,0.0254,8
-1.525,0,1.525,9
-2.6,0,2.6,10
-3.1846,0,3.1846,11
-4.2362,0,4.2362,12
-5.1814,0,5.1814,13
-7.085,0,7.085,14
-7.7106,0,7.7106,15
8.9198,0,8.9198,1
7.0392,0,7.0392,2
5.884,0,5.884,3
4.5408,0,4.5408,4
3.4349,0,3.4349,5
2.3692,0,2.3692,6
1.6497,0,1.6497,7
0.6872,0,0.6872,8
-0.9295,0,0.9295,9
-2.3305,0,2.3305,10
-3.5772,0,3.5772,11
-5.0704,0,5.0704,12
-6.0095,0,6.0095,13
-7.1277,0,7.1277,14
-10.2652,0,10.2652,15
9.0754,0,9.0754,1
7.1244,0,7.1244,2
5.3541,0,5.3541,3
4.7446,0,4.7446,4
3.1624,0,3.1624,5
1.7939,0,1.7939,6
0.6618,0,0.6618,7
-0.2307,0,0.2307,8
-1.3667,0,1.3667,9
-2.068,0,2.068,10
-2.9008,0,2.9008,11
-4.7501,0,4.7501,12
-5.5317,0,5.5317,13
-7.493,0,7.493,14
-8.9987,0,8.9987,15
10.0384,0,10.0384,1
7.4294,0,7.4294,2
6.5863,0,6.5863,3
