"Re","Im","Norm","Order"
6.2086,0,6.2086,1
-5.2102,0,5.2102,2
5.0541,0,5.0541,3
-4.2071,0,4.2071,4
-4.0522,0,4.0522,5
3.8208,0,3.8208,6
3.5006,0,3.5006,7
2.7554,0,2.7554,8
-2.5621,0,2.5621,9
-2.0861,0,2.0861,10
1.5702,0,1.5702,11
-1.4194,0,1.4194,12
1.3479,0,1.3479,13
-0.8253,0,0.8253,14
-0.089,0,0.089,15
7.1612,0,7.1612,1
-6.7024,0,6.7024,2
5.2995,0,5.2995,3
-4.7065,0,4.7065,4
4.479,0,4.479,5
-3.423,0,3.423,6
3.3974,0,3.3974,7
3.242,0,3.242,8
-2.8775,0,2.8775,9
-2.4749,0,2.4749,10
-1.6911,0,1.6911,11
1.5072,0,1.5072,12
-1.1933,0,1.1933,13
1.1618,0,1.1618,14
0.006,0,0.006,15
8.0926,0,8.0926,1
-6.431,0,6.431,2
5.445,0,5.445,3
-5.1077,0,5.1077,4
4.9537,0,4.9537,5
-4.2267,0,4.2267,6
3.7777,0,3.7777,7
-3.469,0,3.469,8
2.6868,0,2.6868,9
-2.2546,0,2.2546,10
2.0932,0,2.0932,11
1.2266,0,1.2266,12
-1.0697,0,1.0697,13
0.4527,0,0.4527,14
-0.4432,0,0.4432,15
6.6562,0,6.6562,1
-6.0003,0,6.0003,2
-5.8449,0,5.8449,3
5.3065,0,5.3065,4
4.2929,0,4.2929,5
4.0783,0,4.0783,6
-3.6251,0,3.6251,7
2.9577,0,2.9577,8
-2.9049,0,2.9049,9
2.138,0,2.138,10
-1.9811,0,1.9811,11
-1.5723,0,1.5723,12
1.2964,0,1.2964,13
-0.8434,0,0.8434,14
0.0801,0,0.0801,15
-6.4282,0,6.4282,1
4.8406,0,4.8406,2
-4.7764,0,4.7764,3
4.3825,0,4.3825,4
-4.1673,0,4.1673,5
3.1975,0,3.1975,6
-2.7027,0,2.7027,7
-2.4994,0,2.4994,8
2.3741,0,2.3741,9
-2.049,0,2.049,10
1.5514,0,1.5514,11
1.2079,0,1.2079,12
-0.7752,0,0.7752,13
0.3752,0,0.3752,14
-0.3324,0,0.3324,15
-6.189,0,6.189,1
6.1614,0,6.1614,2
-5.7982,0,5.7982,3
-5.0949,0,5.0949,4
4.4413,0,4.4413,5
-3.972,0,3.972,6
3.8297,0,3.8297,7
2.8099,0,2.8099,8
-2.762,0,2.762,9
2.3481,0,2.3481,10
-1.5096,0,1.5096,11
1.1961,0,1.1961,12
-1.1046,0,1.1046,13
0.4776,0,0.4776,14
-0.4233,0,0.4233,15
-7.2619,0,7.2619,1
-5.7237,0,5.7237,2
5.6276,0,5.6276,3
5.4945,0,5.4945,4
-5.3908,0,5.3908,5
-4.2475,0,4.2475,6
4.1199,0,4.1199,7
3.8844,0,3.8844,8
2.8211,0,2.8211,9
-2.8133,0,2.8133,10
-1.9735,0,1.9735,11
1.689,0,1.689,12
-1.2945,0,1.2945,13
0.4242,0,0.4242,14
-0.2585,0,0.2585,15
6.8847,0,6.8847,1
-6.1321,0,6.1321,2
-4.8951,0,4.8951,3
-4.657,0,4.657,4
4.5522,0,4.5522,5
3.7352,0,3.7352,6
-2.8454,0,2.8454,7
-2.6473,0,2.6473,8
2.5805,0,2.5805,9
-1.5385,0,1.5385,10
1.1527,0,1.1527,11
1.0067,0,1.0067,12
-0.5457,0,0.5457,13
0.2121,0,0.2121,14
-0.1556,0,0.1556,15
-6.0303,0,6.0303,1
5.9505,0,5.9505,2
4.3834,0,4.3834,3
-4.2227,0,4.2227,4
4.2188,0,4.2188,5
-3.6229,0,3.6229,6
-3.5897,0,3.5897,7
3.0486,0,3.0486,8
-2.5925,0,2.5925,9
2.489,0,2.489,10
1.6415,0,1.6415,11
1.1886,0,1.1886,12
-1.1849,0,1.1849,13
1.1588,0,1.1588,14
-0.7706,0,0.7706,15
-7.044,0,7.044,1
6.1149,0,6.1149,2
5.1022,0,5.1022,3
-5.0592,0,5.0592,4
-4.5119,0,4.5119,5
-4.3244,0,4.3244,6
4.0826,0,4.0826,7
2.8003,0,2.8003,8
-2.2887,0,2.2887,9
2.1619,0,2.1619,10
-1.804,0,1.804,11
-1.4255,0,1.4255,12
1.1049,0,1.1049,13
-0.4085,0,0.4085,14
0.257,0,0.257,15
7.1484,0,7.1484,1
-6.4335,0,6.4335,2
-5.7834,0,5.7834,3
4.7606,0,4.7606,4
4.6874,0,4.6874,5
-4.2783,0,4.2783,6
-4.0359,0,4.0359,7
3.4975,0,3.4975,8
3.3718,0,3.3718,9
-3.316,0,3.316,10
-2.1047,0,2.1047,11
1.9444,0,1.9444,12
-1.72,0,1.72,13
0.4803,0,0.4803,14
-0.2077,0,0.2077,15
6.7221,0,6.7221,1
-6.6563,0,6.6563,2
-5.9638,0,5.9638,3
5.291,0,5.291,4
4.5107,0,4.5107,5
-3.9344,0,3.9344,6
3.3783,0,3.3783,7
-3.1893,0,3.1893,8
-3.0031,0,3.0031,9
2.9067,0,2.9067,10
2.0223,0,2.0223,11
-0.9842,0,0.9842,12
-0.4493,0,0.4493,13
0.4266,0,0.4266,14
-0.0741,0,0.0741,15
-7.4051,0,7.4051,1
-6.9989,0,6.9989,2
5.8904,0,5.8904,3
-4.9915,0,4.9915,4
4.8438,0,4.8438,5
4.2706,0,4.2706,6
3.7086,0,3.7086,7
3.1458,0,3.1458,8
-3.0752,0,3.0752,9
-2.7791,0,2.7791,10
-2.2826,0,2.2826,11
1.6456,0,1.6456,12
1.4946,0,1.4946,13
-1.4161,0,1.4161,14
-0.7813,0,0.7813,15
-7.5262,0,7.5262,1
5.6744,0,5.6744,2
5.5868,0,5.5868,3
-4.7309,0,4.7309,4
-4.0452,0,4.0452,5
3.8125,0,3.8125,6
-3.3532,0,3.3532,7
3.0497,0,3.0497,8
-2.7616,0,2.7616,9
2.0452,0,2.0452,10
1.4827,0,1.4827,11
-1.1003,0,1.1003,12
0.8874,0,0.8874,13
-0.7716,0,0.7716,14
0.2776,0,0.2776,15
7.1234,0,7.1234,1
-6.996,0,6.996,2
-5.7865,0,5.7865,3
5.755,0,5.755,4
4.8644,0,4.8644,5
-4.6523,0,4.6523,6
-3.9755,0,3.9755,7
3.4663,0,3.4663,8
-2.4459,0,2.4459,9
-1.9468,0,1.9468,10
-1.8092,0,1.8092,11
1.7854,0,1.7854,12
1.4075,0,1.4075,13
-0.3865,0,0.3865,14
-0.0722,0,0.0722,15
-6.5777,0,6.5777,1
6.0387,0,6.0387,2
-5.4445,0,5.4445,3
5.3095,0,5.3095,4
4.8885,0,4.8885,5
4.0449,0,4.0449,6
-3.996,0,3.996,7
-3.5239,0,3.5239,8
3.0452,0,3.0452,9
-2.5705,0,2.5705,10
1.9055,0,1.9055,11
-1.3983,0,1.3983,12
-0.8946,0,0.8946,13
0.8434,0,0.8434,14
0.2803,0,0.2803,15
7.8156,0,7.8156,1
-6.3545,0,6.3545,2
5.6649,0,5.6649,3
-5.6255,0,5.6255,4
4.2331,0,4.2331,5
3.975,0,3.975,6
-3.7033,0,3.7033,7
-3.5198,0,3.5198,8
1.9919,0,1.9919,9
1.6486,0,1.6486,10
-1.5294,0,1.5294,11
-1.0933,0,1.0933,12
-0.7586,0,0.7586,13
0.2294,0,0.2294,14
0.0032,0,0.0032,15
8.0941,0,8.0941,1
-5.9309,0,5.9309,2
-5.8282,0,5.8282,3
4.5943,0,4.5943,4
-4.1796,0,4.1796,5
3.5073,0,3.5073,6
-3.2451,0,3.2451,7
-2.7744,0,2.7744,8
2.4354,0,2.4354,9
2.2275,0,2.2275,10
-1.6327,0,1.6327,11
1.6143,0,1.6143,12
-0.5689,0,0.5689,13
0.3137,0,0.3137,14
-0.2471,0,0.2471,15
-7.5815,0,7.5815,1
-6.2825,0,6.2825,2
5.8867,0,5.8867,3
5.7108,0,5.7108,4
-4.2255,0,4.2255,5
4.0684,0,4.0684,6
-3.739,0,3.739,7
3.3315,0,3.3315,8
2.5456,0,2.5456,9
-2.3704,0,2.3704,10
-1.4827,0,1.4827,11
1.2519,0,1.2519,12
-0.941,0,0.941,13
0.4247,0,0.4247,14
-0.2638,0,0.2638,15
-7.1711,0,7.1711,1
6.8486,0,6.8486,2
-5.0235,0,5.0235,3
-4.7426,0,4.7426,4
4.1734,0,4.1734,5
-3.341,0,3.341,6
3.2197,0,3.2197,7
-3.1498,0,3.1498,8
2.5272,0,2.5272,9
2.1976,0,2.1976,10
-1.9832,0,1.9832,11
1.4453,0,1.4453,12
1.236,0,1.236,13
-0.429,0,0.429,14
0.4006,0,0.4006,15
5.5871,0,5.5871,1
-5.4433,0,5.4433,2
-4.8665,0,4.8665,3
4.0397,0,4.0397,4
-3.8476,0,3.8476,5
3.2427,0,3.2427,6
2.9052,0,2.9052,7
-2.5784,0,2.5784,8
-1.9857,0,1.9857,9
1.9656,0,1.9656,10
1.7832,0,1.7832,11
-1.685,0,1.685,12
1.0659,0,1.0659,13
-0.8539,0,0.8539,14
0.3562,0,0.3562,15
-7.0456,0,7.0456,1
6.3263,0,6.3263,2
5.2388,0,5.2388,3
4.0638,0,4.0638,4
-3.8138,0,3.8138,5
3.3478,0,3.3478,6
-2.9524,0,2.9524,7
-2.6753,0,2.6753,8
-2.5457,0,2.5457,9
2.3981,0,2.3981,10
-1.6561,0,1.6561,11
-1.5199,0,1.5199,12
0.9725,0,0.9725,13
-0.5712,0,0.5712,14
0.0663,0,0.0663,15
-6.6484,0,6.6484,1
6.081,0,6.081,2
