"Re","Im","Norm","Order"
6.2086,0,6.2086,1
5.0541,0,5.0541,2
3.8208,0,3.8208,3
3.5006,0,3.5006,4
2.7554,0,2.7554,5
1.5702,0,1.5702,6
1.3479,0,1.3479,7
-0.089,0,0.089,8
-0.8253,0,0.8253,9
-1.4194,0,1.4194,10
-2.0861,0,2.0861,11
-2.5621,0,2.5621,12
-4.0522,0,4.0522,13
-4.2071,0,4.2071,14
-5.2102,0,5.2102,15
7.1612,0,7.1612,1
5.2995,0,5.2995,2
4.479,0,4.479,3
3.3974,0,3.3974,4
3.242,0,3.242,5
1.5072,0,1.5072,6
1.1618,0,1.1618,7
0.006,0,0.006,8
-1.1933,0,1.1933,9
-1.6911,0,1.6911,10
-2.4749,0,2.4749,11
-2.8775,0,2.8775,12
-3.423,0,3.423,13
-4.7065,0,4.7065,14
-6.7024,0,6.7024,15
8.0926,0,8.0926,1
5.445,0,5.445,2
4.9537,0,4.9537,3
3.7777,0,3.7777,4
2.6868,0,2.6868,5
2.0932,0,2.0932,6
1.2266,0,1.2266,7
0.4527,0,0.4527,8
-0.4432,0,0.4432,9
-1.0697,0,1.0697,10
-2.2546,0,2.2546,11
-3.469,0,3.469,12
-4.2267,0,4.2267,13
-5.1077,0,5.1077,14
-6.431,0,6.431,15
6.6562,0,6.6562,1
5.3065,0,5.3065,2
4.2929,0,4.2929,3
4.0783,0,4.0783,4
2.9577,0,2.9577,5
2.138,0,2.138,6
1.2964,0,1.2964,7
0.0801,0,0.0801,8
-0.8434,0,0.8434,9
-1.5723,0,1.5723,10
-1.9811,0,1.9811,11
-2.9049,0,2.9049,12
-3.6251,0,3.6251,13
-5.8449,0,5.8449,14
-6.0003,0,6.0003,15
4.8406,0,4.8406,1
4.3825,0,4.3825,2
3.1975,0,3.1975,3
2.3741,0,2.3741,4
1.5514,0,1.5514,5
1.2079,0,1.2079,6
0.3752,0,0.3752,7
-0.3324,0,0.3324,8
-0.7752,0,0.7752,9
-2.049,0,2.049,10
-2.4994,0,2.4994,11
-2.7027,0,2.7027,12
-4.1673,0,4.1673,13
-4.7764,0,4.7764,14
-6.4282,0,6.4282,15
6.1614,0,6.1614,1
4.4413,0,4.4413,2
3.8297,0,3.8297,3
2.8099,0,2.8099,4
2.3481,0,2.3481,5
1.1961,0,1.1961,6
0.4776,0,0.4776,7
-0.4233,0,0.4233,8
-1.1046,0,1.1046,9
-1.5096,0,1.5096,10
-2.762,0,2.762,11
-3.972,0,3.972,12
-5.0949,0,5.0949,13
-5.7982,0,5.7982,14
-6.189,0,6.189,15
5.6276,0,5.6276,1
5.4945,0,5.4945,2
4.1199,0,4.1199,3
3.8844,0,3.8844,4
2.8211,0,2.8211,5
1.689,0,1.689,6
0.4242,0,0.4242,7
-0.2585,0,0.2585,8
-1.2945,0,1.2945,9
-1.9735,0,1.9735,10
-2.8133,0,2.8133,11
-4.2475,0,4.2475,12
-5.3908,0,5.3908,13
-5.7237,0,5.7237,14
-7.2619,0,7.2619,15
6.8847,0,6.8847,1
4.5522,0,4.5522,2
3.7352,0,3.7352,3
2.5805,0,2.5805,4
1.1527,0,1.1527,5
1.0067,0,1.0067,6
0.2121,0,0.2121,7
-0.1556,0,0.1556,8
-0.5457,0,0.5457,9
-1.5385,0,1.5385,10
-2.6473,0,2.6473,11
-2.8454,0,2.8454,12
-4.657,0,4.657,13
-4.8951,0,4.8951,14
-6.1321,0,6.1321,15
5.9505,0,5.9505,1
4.3834,0,4.3834,2
4.2188,0,4.2188,3
3.0486,0,3.0486,4
2.489,0,2.489,5
1.6415,0,1.6415,6
1.1886,0,1.1886,7
1.1588,0,1.1588,8
-0.7706,0,0.7706,9
-1.1849,0,1.1849,10
-2.5925,0,2.5925,11
-3.5897,0,3.5897,12
-3.6229,0,3.6229,13
-4.2227,0,4.2227,14
-6.0303,0,6.0303,15
6.1149,0,6.1149,1
5.1022,0,5.1022,2
4.0826,0,4.0826,3
2.8003,0,2.8003,4
2.1619,0,2.1619,5
1.1049,0,1.1049,6
0.257,0,0.257,7
-0.4085,0,0.4085,8
-1.4255,0,1.4255,9
-1.804,0,1.804,10
-2.2887,0,2.2887,11
-4.3244,0,4.3244,12
-4.5119,0,4.5119,13
-5.0592,0,5.0592,14
-7.044,0,7.044,15
7.1484,0,7.1484,1
4.7606,0,4.7606,2
4.6874,0,4.6874,3
3.4975,0,3.4975,4
3.3718,0,3.3718,5
1.9444,0,1.9444,6
0.4803,0,0.4803,7
-0.2077,0,0.2077,8
-1.72,0,1.72,9
-2.1047,0,2.1047,10
-3.316,0,3.316,11
-4.0359,0,4.0359,12
-4.2783,0,4.2783,13
-5.7834,0,5.7834,14
-6.4335,0,6.4335,15
6.7221,0,6.7221,1
5.291,0,5.291,2
4.5107,0,4.5107,3
3.3783,0,3.3783,4
2.9067,0,2.9067,5
2.0223,0,2.0223,6
0.4266,0,0.4266,7
-0.0741,0,0.0741,8
-0.4493,0,0.4493,9
-0.9842,0,0.9842,10
-3.0031,0,3.0031,11
-3.1893,0,3.1893,12
-3.9344,0,3.9344,13
-5.9638,0,5.9638,14
-6.6563,0,6.6563,15
5.8904,0,5.8904,1
4.8438,0,4.8438,2
4.2706,0,4.2706,3
3.7086,0,3.7086,4
3.1458,0,3.1458,5
1.6456,0,1.6456,6
1.4946,0,1.4946,7
-0.7813,0,0.7813,8
-1.4161,0,1.4161,9
-2.2826,0,2.2826,10
-2.7791,0,2.7791,11
-3.0752,0,3.0752,12
-4.9915,0,4.9915,13
-6.9989,0,6.9989,14
-7.4051,0,7.4051,15
5.6744,0,5.6744,1
5.5868,0,5.5868,2
3.8125,0,3.8125,3
3.0497,0,3.0497,4
2.0452,0,2.0452,5
1.4827,0,1.4827,6
0.8874,0,0.8874,7
0.2776,0,0.2776,8
-0.7716,0,0.7716,9
-1.1003,0,1.1003,10
-2.7616,0,2.7616,11
-3.3532,0,3.3532,12
-4.0452,0,4.0452,13
-4.7309,0,4.7309,14
-7.5262,0,7.5262,15
7.1234,0,7.1234,1
5.755,0,5.755,2
4.8644,0,4.8644,3
3.4663,0,3.4663,4
1.7854,0,1.7854,5
1.4075,0,1.4075,6
-0.0722,0,0.0722,7
-0.3865,0,0.3865,8
-1.8092,0,1.8092,9
-1.9468,0,1.9468,10
-2.4459,0,2.4459,11
-3.9755,0,3.9755,12
-4.6523,0,4.6523,13
-5.7865,0,5.7865,14
-6.996,0,6.996,15
6.0387,0,6.0387,1
5.3095,0,5.3095,2
4.8885,0,4.8885,3
4.0449,0,4.0449,4
3.0452,0,3.0452,5
1.9055,0,1.9055,6
0.8434,0,0.8434,7
0.2803,0,0.2803,8
-0.8946,0,0.8946,9
-1.3983,0,1.3983,10
-2.5705,0,2.5705,11
-3.5239,0,3.5239,12
-3.996,0,3.996,13
-5.4445,0,5.4445,14
-6.5777,0,6.5777,15
7.8156,0,7.8156,1
5.6649,0,5.6649,2
4.2331,0,4.2331,3
3.975,0,3.975,4
1.9919,0,1.9919,5
1.6486,0,1.6486,6
0.2294,0,0.2294,7
0.0032,0,0.0032,8
-0.7586,0,0.7586,9
-1.0933,0,1.0933,10
-1.5294,0,1.5294,11
-3.5198,0,3.5198,12
-3.7033,0,3.7033,13
-5.6255,0,5.6255,14
-6.3545,0,6.3545,15
8.0941,0,8.0941,1
4.5943,0,4.5943,2
3.5073,0,3.5073,3
2.4354,0,2.4354,4
2.2275,0,2.2275,5
1.6143,0,1.6143,6
0.3137,0,0.3137,7
-0.2471,0,0.2471,8
