Re,Im,Norm,Order,p
1,0,1,2,0.005
1,0,1,3,0.005
-0.7557,0.5362,0.9266,2,0.005
-0.7557,-0.5362,0.9266,3,0.005
0.9391,0,0.9391,2,0.005
0.7112,0.6097,0.9368,3,0.005
-1,0,1,2,0.005
1,0,1,3,0.005
-1,0,1,2,0.005
1,0,1,3,0.005
-0.5,-0.866,1,2,0.005
1,0,1,3,0.005
-1,0,1,2,0.005
1,0,1,3,0.005
-0.1051,0.9943,0.9999,2,0.005
-0.1051,-0.9943,0.9999,3,0.005
-0.901,-0.4339,1,2,0.005
1,0,1,3,0.005
0.9625,0,0.9625,2,0.005
-0.0888,0.9344,0.9386,3,0.005
1,0,1,2,0.005
-0,1,1,3,0.005
1,0,1,2,0.005
1,0,1,3,0.005
-1,0,1,2,0.005
1,0,1,3,0.005
0.6974,0.4181,0.8131,2,0.005
0.6974,-0.4181,0.8131,3,0.005
-1,0,1,2,0.005
1,0,1,3,0.005
-0.809,0.5878,1,2,0.005
-0.809,-0.5878,1,3,0.005
1,0,1,2,0.005
-0.5,0.866,1,3,0.005
0.309,-0.9511,1,2,0.005
1,0,1,3,0.005
-1,0,1,2,0.005
1,0,1,3,0.005
0.7071,-0.7071,1,2,0.005
1,0,1,3,0.005
-0.5,0.866,1,2,0.005
-0.5,-0.866,1,3,0.005
0.98,0,0.98,2,0.005
-0.0645,0.9551,0.9573,3,0.005
-0.901,-0.4339,1,2,0.005
1,0,1,3,0.005
0.309,0.9511,1,2,0.005
0.309,-0.9511,1,3,0.005
-0.2193,0.8401,0.8682,2,0.005
-0.2193,-0.8401,0.8682,3,0.005
1,0,1,2,0.005
-0,1,1,3,0.005
0.5,-0.866,1,2,0.005
1,0,1,3,0.005
1,0,1,2,0.005
-0.9121,0,0.9121,3,0.005
0.0558,0.9646,0.9662,2,0.005
0.0558,-0.9646,0.9662,3,0.005
-1,0,1,2,0.005
0,0,0,3,0.005
1,0,1,2,0.005
-1,0,1,3,0.005
1,0,1,2,0.005
0.1171,0.9923,0.9991,3,0.005
0.541,0.8112,0.975,2,0.005
0.541,-0.8112,0.975,3,0.005
-0,1,1,2,0.005
-0,-1,1,3,0.005
1,0,1,2,0.005
-1,0,1,3,0.005
0,1,1,2,0.005
0,-1,1,3,0.005
1,0,1,2,0.005
-0,1,1,3,0.005
-0.866,0.5,1,2,0.005
-0.866,-0.5,1,3,0.005
-0.5,0.866,1,2,0.005
-0.5,-0.866,1,3,0.005
1,0,1,2,0.005
0.7134,0.6942,0.9954,3,0.005
-0.4552,0.7884,0.9104,2,0.005
-0.4552,-0.7884,0.9104,3,0.005
1,0,1,2,0.005
-1,0,1,3,0.005
-0.5,-0.866,1,2,0.005
1,0,1,3,0.005
-1,0,1,2,0.005
1,0,1,3,0.005
1,0,1,2,0.005
0.9408,0,0.9408,3,0.005
-1,0,1,2,0.005
1,0,1,3,0.005
1,0,1,2,0.005
0.9853,0,0.9853,3,0.005
-0.901,-0.4339,1,2,0.005
1,0,1,3,0.005
1,0,1,2,0.005
-1,0,1,3,0.005
1,0,1,2,0.005
1,0,1,3,0.005
-1,0,1,2,0.005
-0.8931,0,0.8931,3,0.005
-0.5,-0.866,1,2,0.005
1,0,1,3,0.005
1,0,1,2,0.005
0.9779,0,0.9779,3,0.005
1,0,1,2,0.005
0.5881,0,0.5881,3,0.005
-0.901,-0.4339,1,2,0.005
1,0,1,3,0.005
-0.9644,0,0.9644,2,0.005
0.9644,0,0.9644,3,0.005
0.1712,0.9278,0.9435,2,0.005
0.1712,-0.9278,0.9435,3,0.005
-1,0,1,2,0.005
1,0,1,3,0.005
-0,-1,1,2,0.005
-1,0,1,3,0.005
1,0,1,2,0.005
1,0,1,3,0.005
1,0,1,2,0.005
0.0046,0.9905,0.9905,3,0.005
-0.6771,0.6886,0.9658,2,0.005
-0.6771,-0.6886,0.9658,3,0.005
1,0,1,2,0.005
1,0,1,3,0.005
0.6235,0.7818,1,2,0.005
0.6235,-0.7818,1,3,0.005
-0.5,-0.866,1,2,0.005
1,0,1,3,0.005
-1,0,1,2,0.005
1,0,1,3,0.005
-0.7071,0.7071,1,2,0.005
-0.7071,-0.7071,1,3,0.005
1,0,1,2,0.005
0,1,1,3,0.005
1,0,1,2,0.005
1,0,1,3,0.005
1,0,1,2,0.005
-0.5873,0.684,0.9016,3,0.005
-0.9397,-0.342,1,2,0.005
1,0,1,3,0.005
-0.5,0.866,1,2,0.005
-0.5,-0.866,1,3,0.005
0,-1,1,2,0.005
1,0,1,3,0.005
-1,0,1,2,0.005
0.677,0,0.677,3,0.005
0.6235,0.7818,1,2,0.005
0.6235,-0.7818,1,3,0.005
0.824,0.5576,0.9949,2,0.005
0.824,-0.5576,0.9949,3,0.005
1,0,1,2,0.005
-0,0.8758,0.8758,3,0.005
1,0,1,2,0.005
1,0,1,3,0.005
1,0,1,2,0.005
1,0,1,3,0.005
-0.5,-0.866,1,2,0.005
1,0,1,3,0.005
-1,0,1,2,0.005
1,0,1,3,0.005
-0.901,-0.4339,1,2,0.005
1,0,1,3,0.005
-1,0,1,2,0.005
0.8113,0,0.8113,3,0.005
1,0,1,2,0.005
1,0,1,3,0.005
-0,-1,1,2,0.005
-1,0,1,3,0.005
-1,0,1,2,0.005
-0.5,0.866,1,3,0.005
-1,0,1,2,0.005
1,0,1,3,0.005
-0.809,0.5878,1,2,0.005
-0.809,-0.5878,1,3,0.005
1,0,1,2,0.005
1,0,1,3,0.005
0.309,0.9511,1,2,0.005
0.309,-0.9511,1,3,0.005
1,0,1,2,0.005
1,0,1,3,0.005
-0.5,-0.866,1,2,0.005
-0.5,0.866,1,3,0.005
-0.4787,0.8369,0.9642,2,0.005
-0.4787,-0.8369,0.9642,3,0.005
1,0,1,2,0.005
-0.4778,0.8425,0.9686,3,0.005
-1,0,1,2,0.005
1,0,1,3,0.005
1,0,1,2,0.005
0,1,1,3,0.005
-0.9927,0,0.9927,2,0.005
0.9448,0,0.9448,3,0.005
-0.5,-0.866,1,2,0.005
1,0,1,3,0.005
-0.5,-0.866,1,2,0.005
1,0,1,3,0.005
-0.901,0.4339,1,2,0.005
-0.901,-0.4339,1,3,0.005
1,0,1,2,0.005
-0.5,0.866,1,3,0.005
-1,0,1,2,0.005
0.309,0.9511,1,3,0.005
1,0,1,2,0.005
0.2599,0.9432,0.9783,3,0.005
-0.5,0.866,1,2,0.005
-0.5,-0.866,1,3,0.005
-1,0,1,2,0.005
1,0,1,3,0.005
1,0,1,2,0.005
0,0,0,3,0.005
-0.5,-0.866,1,2,0.005
-0.5,0.866,1,3,0.005
-0.8445,0.3973,0.9333,2,0.005
-0.8445,-0.3973,0.9333,3,0.005
1,0,1,2,0.005
1,0,1,3,0.005
-1,0,1,2,0.005
1,0,1,3,0.005
-1,0,1,2,0.005
1,0,1,3,0.005
1,0,1,2,0.005
-0.9592,0.2735,0.9975,3,0.005
-0.9397,-0.342,1,2,0.005
0.766,0.6428,1,3,0.005
0,0,0,2,0.005
0,0,0,3,0.005
-0.5,-0.866,1,2,0.005
1,0,1,3,0.005
0,1,1,2,0.005
0,-1,1,3,0.005
0,1,1,2,0.005
0,-1,1,3,0.005
-0.5858,0.6531,0.8773,2,0.005
-0.5858,-0.6531,0.8773,3,0.005
1,0,1,2,0.005
0.9653,0,0.9653,3,0.005
-0.5,-0.866,1,2,0.005
1,0,1,3,0.005
-0.5,-0.866,1,2,0.005
1,0,1,3,0.005
-0.809,0.5878,1,2,0.005
-0.809,-0.5878,1,3,0.005
-0.809,0.5878,1,2,0.005
-0.809,-0.5878,1,3,0.005
-0.9397,-0.342,1,2,0.005
0.766,0.6428,1,3,0.005
-0.4048,0.8687,0.9584,2,0.005
-0.4048,-0.8687,0.9584,3,0.005
0.4154,-0.9096,1,2,0.005
1,0,1,3,0.005
0.309,0.9511,1,2,0.005
0.309,-0.9511,1,3,0.005
1,0,1,2,0.005
0.9919,0,0.9919,3,0.005
-0.5,-0.866,1,2,0.005
-0.5,0.866,1,3,0.005
-0.5,0.866,1,2,0.005
-0.5,-0.866,1,3,0.005
-0.5,-0.866,1,2,0.005
1,0,1,3,0.005
1,0,1,2,0.005
1,0,1,3,0.005
-0.462,0.8001,0.9239,2,0.005
-0.462,-0.8001,0.9239,3,0.005
1,0,1,2,0.005
-0,1,1,3,0.005
0.6605,0.7347,0.988,2,0.005
0.6605,-0.7347,0.988,3,0.005
-0.5,-0.866,1,2,0.005
1,0,1,3,0.005
0.309,-0.9511,1,2,0.005
1,0,1,3,0.005
-0.5,-0.866,1,2,0.005
1,0,1,3,0.005
-0,-1,1,2,0.005
1,0,1,3,0.005
-0.7071,0.7071,1,2,0.005
-0.7071,-0.7071,1,3,0.005
-0.9984,0,0.9984,2,0.005
0.3999,0.869,0.9566,3,0.005
1,0,1,2,0.005
1,0,1,3,0.005
0.4338,0.8905,0.9905,2,0.005
0.4338,-0.8905,0.9905,3,0.005
0.9934,0,0.9934,2,0.005
0.5406,0.8114,0.9749,3,0.005
1,0,1,2,0.005
1,0,1,3,0.005
0.9277,0,0.9277,2,0.005
0.9046,0,0.9046,3,0.005
