"Re","Im","Norm","Order"
-4.5298,0,4.5298,1
3.8842,0,3.8842,2
5.9134,0,5.9134,1
-4.7922,0,4.7922,2
6.2478,0,6.2478,1
-4.9212,0,4.9212,2
5.3907,0,5.3907,1
-4.6669,0,4.6669,2
7.5164,0,7.5164,1
-5.6343,0,5.6343,2
-5.4957,0,5.4957,1
5.256,0,5.256,2
5.2497,0,5.2497,1
-4.3653,0,4.3653,2
7.1885,0,7.1885,1
-5.4054,0,5.4054,2
-5.1672,0,5.1672,1
4.9209,0,4.9209,2
5.6492,0,5.6492,1
-5.0835,0,5.0835,2
4.1843,0,4.1843,1
-3.6157,0,3.6157,2
5.7466,0,5.7466,1
-5.173,0,5.173,2
4.587,0,4.587,1
-4.2103,0,4.2103,2
5.1697,0,5.1697,1
-4.8151,0,4.8151,2
6.0387,0,6.0387,1
-5.4701,0,5.4701,2
-5.8472,0,5.8472,1
5.1936,0,5.1936,2
-5.6455,0,5.6455,1
-4.7801,0,4.7801,2
5.6768,0,5.6768,1
5.0463,0,5.0463,2
4.8266,0,4.8266,1
-4.0797,0,4.0797,2
4.9178,0,4.9178,1
-3.6357,0,3.6357,2
-5.5096,0,5.5096,1
4.7912,0,4.7912,2
5.4683,0,5.4683,1
-5.2412,0,5.2412,2
4.7089,0,4.7089,1
4.6114,0,4.6114,2
6.1402,0,6.1402,1
5.1296,0,5.1296,2
-4.5007,0,4.5007,1
4.3188,0,4.3188,2
4.7329,0,4.7329,1
-3.8296,0,3.8296,2
5.9884,0,5.9884,1
-5.9124,0,5.9124,2
-5.502,0,5.502,1
4.9874,0,4.9874,2
6.1721,0,6.1721,1
-5.2247,0,5.2247,2
-5.2153,0,5.2153,1
4.8076,0,4.8076,2
-5.2934,0,5.2934,1
-4.9019,0,4.9019,2
-4.8144,0,4.8144,1
-3.1937,0,3.1937,2
5.7334,0,5.7334,1
-4.7692,0,4.7692,2
-4.882,0,4.882,1
4.1833,0,4.1833,2
5.5331,0,5.5331,1
-5.1255,0,5.1255,2
5.0018,0,5.0018,1
-4.5757,0,4.5757,2
6.1967,0,6.1967,1
-5.1966,0,5.1966,2
5.3611,0,5.3611,1
-3.301,0,3.301,2
6.0169,0,6.0169,1
-4.7717,0,4.7717,2
-4.8545,0,4.8545,1
4.6323,0,4.6323,2
-5.4178,0,5.4178,1
4.7796,0,4.7796,2
-5.6633,0,5.6633,1
5.162,0,5.162,2
-5.826,0,5.826,1
5.2043,0,5.2043,2
-5.4022,0,5.4022,1
4.2032,0,4.2032,2
-6.3007,0,6.3007,1
5.734,0,5.734,2
4.8323,0,4.8323,1
-3.8623,0,3.8623,2
-5.5317,0,5.5317,1
5.1613,0,5.1613,2
5.7605,0,5.7605,1
-4.0879,0,4.0879,2
4.7273,0,4.7273,1
-4.4207,0,4.4207,2
-5.0496,0,5.0496,1
4.4023,0,4.4023,2
-4.559,0,4.559,1
-4.2327,0,4.2327,2
-5.3362,0,5.3362,1
4.8978,0,4.8978,2
-5.0017,0,5.0017,1
4.649,0,4.649,2
-5.0053,0,5.0053,1
4.3165,0,4.3165,2
4.6061,0,4.6061,1
4.337,0,4.337,2
-6.411,0,6.411,1
6.3412,0,6.3412,2
6.077,0,6.077,1
-5.7229,0,5.7229,2
6.1455,0,6.1455,1
-3.8497,0,3.8497,2
-5.4085,0,5.4085,1
3.6324,0,3.6324,2
-5.092,0,5.092,1
4.2009,0,4.2009,2
-5.1366,0,5.1366,1
4.6972,0,4.6972,2
6.3182,0,6.3182,1
-5.7263,0,5.7263,2
4.6689,0,4.6689,1
-4.4791,0,4.4791,2
-5.4843,0,5.4843,1
4.7647,0,4.7647,2
-5.6051,0,5.6051,1
3.7897,0,3.7897,2
-5.5285,0,5.5285,1
4.9656,0,4.9656,2
-5.4669,0,5.4669,1
4.2119,0,4.2119,2
-5.3119,0,5.3119,1
4.0964,0,4.0964,2
4.6426,0,4.6426,1
-4.3707,0,4.3707,2
-5.5159,0,5.5159,1
5.2507,0,5.2507,2
-4.9254,0,4.9254,1
