"Re","Im","Norm","Order"
19.3532,0,19.3532,1
-19.0549,0,19.0549,2
18.0996,0,18.0996,3
-17.8959,0,17.8959,4
-17.7159,0,17.7159,5
17.7077,0,17.7077,6
17.0147,0,17.0147,7
-16.7808,0,16.7808,8
16.7241,0,16.7241,9
-16.1094,0,16.1094,10
16.0468,0,16.0468,11
15.6397,0,15.6397,12
-15.4748,0,15.4748,13
15.1641,0,15.1641,14
-14.9528,0,14.9528,15
-14.574,0,14.574,16
-14.1838,0,14.1838,17
14.0328,0,14.0328,18
-13.5891,0,13.5891,19
13.5664,0,13.5664,20
13.3109,0,13.3109,21
-13.1615,0,13.1615,22
13.1074,0,13.1074,23
-13.0262,0,13.0262,24
12.7261,0,12.7261,25
-12.6611,0,12.6611,26
12.3432,0,12.3432,27
-12.2701,0,12.2701,28
-11.9427,0,11.9427,29
11.787,0,11.787,30
11.4306,0,11.4306,31
-11.2068,0,11.2068,32
11.1427,0,11.1427,33
-10.9496,0,10.9496,34
10.6347,0,10.6347,35
10.4817,0,10.4817,36
-10.4374,0,10.4374,37
10.4238,0,10.4238,38
-10.2633,0,10.2633,39
-10.1874,0,10.1874,40
10.1738,0,10.1738,41
-9.952,0,9.952,42
9.5265,0,9.5265,43
-9.368,0,9.368,44
-9.1011,0,9.1011,45
9.0842,0,9.0842,46
-8.771,0,8.771,47
8.7306,0,8.7306,48
8.4614,0,8.4614,49
-8.0984,0,8.0984,50
-7.8764,0,7.8764,51
7.6497,0,7.6497,52
7.2944,0,7.2944,53
-7.2073,0,7.2073,54
-7.0731,0,7.0731,55
-6.9254,0,6.9254,56
6.8196,0,6.8196,57
-6.7108,0,6.7108,58
6.6409,0,6.6409,59
-6.4358,0,6.4358,60
6.3489,0,6.3489,61
6.156,0,6.156,62
-6.0633,0,6.0633,63
6.0365,0,6.0365,64
-5.6372,0,5.6372,65
5.534,0,5.534,66
5.4375,0,5.4375,67
-5.3518,0,5.3518,68
5.3063,0,5.3063,69
-5.0036,0,5.0036,70
4.8596,0,4.8596,71
4.6171,0,4.6171,72
-4.4939,0,4.4939,73
4.3516,0,4.3516,74
-4.2646,0,4.2646,75
-4.056,0,4.056,76
3.8514,0,3.8514,77
-3.676,0,3.676,78
-3.3184,0,3.3184,79
3.2527,0,3.2527,80
3.0695,0,3.0695,81
-2.8363,0,2.8363,82
-2.6675,0,2.6675,83
2.5935,0,2.5935,84
2.4083,0,2.4083,85
-2.2737,0,2.2737,86
2.1645,0,2.1645,87
1.9735,0,1.9735,88
-1.7262,0,1.7262,89
-1.5879,0,1.5879,90
1.389,0,1.389,91
-1.1251,0,1.1251,92
1.1097,0,1.1097,93
-0.8903,0,0.8903,94
0.6104,0,0.6104,95
-0.5167,0,0.5167,96
0.4343,0,0.4343,97
-0.2868,0,0.2868,98
0.2112,0,0.2112,99
0.0118,0,0.0118,100
19.6402,0,19.6402,1
-18.4879,0,18.4879,2
18.3119,0,18.3119,3
-17.4744,0,17.4744,4
17.3849,0,17.3849,5
17.01,0,17.01,6
-16.918,0,16.918,7
-16.6672,0,16.6672,8
-16.4429,0,16.4429,9
16.3184,0,16.3184,10
15.8774,0,15.8774,11
-15.7868,0,15.7868,12
15.5431,0,15.5431,13
-15.5046,0,15.5046,14
15.0787,0,15.0787,15
-15.0203,0,15.0203,16
14.938,0,14.938,17
-14.5509,0,14.5509,18
-14.038,0,14.038,19
14.0234,0,14.0234,20
13.729,0,13.729,21
13.4086,0,13.4086,22
-13.3481,0,13.3481,23
-13.1415,0,13.1415,24
13.0066,0,13.0066,25
-12.4688,0,12.4688,26
12.131,0,12.131,27
-12.0978,0,12.0978,28
-11.9581,0,11.9581,29
11.7112,0,11.7112,30
11.5483,0,11.5483,31
-11.5195,0,11.5195,32
11.338,0,11.338,33
-11.1507,0,11.1507,34
-10.9256,0,10.9256,35
10.8024,0,10.8024,36
-10.685,0,10.685,37
10.2044,0,10.2044,38
-9.9437,0,9.9437,39
9.7092,0,9.7092,40
-9.478,0,9.478,41
-9.2707,0,9.2707,42
9.2646,0,9.2646,43
9.1858,0,9.1858,44
8.9234,0,8.9234,45
-8.7001,0,8.7001,46
-8.6456,0,8.6456,47
8.4923,0,8.4923,48
8.1758,0,8.1758,49
-8.0357,0,8.0357,50
-7.8969,0,7.8969,51
-7.7547,0,7.7547,52
7.6498,0,7.6498,53
-7.4824,0,7.4824,54
7.4417,0,7.4417,55
7.0793,0,7.0793,56
-7.0581,0,7.0581,57
-6.614,0,6.614,58
6.5197,0,6.5197,59
-6.263,0,6.263,60
-6.192,0,6.192,61
6.0028,0,6.0028,62
5.8501,0,5.8501,63
-5.7937,0,5.7937,64
-5.7399,0,5.7399,65
5.6728,0,5.6728,66
5.3676,0,5.3676,67
5.0088,0,5.0088,68
4.9351,0,4.9351,69
-4.9019,0,4.9019,70
4.6166,0,4.6166,71
-4.5442,0,4.5442,72
-4.4528,0,4.4528,73
4.0315,0,4.0315,74
-4.0043,0,4.0043,75
3.7935,0,3.7935,76
-3.6732,0,3.6732,77
3.5289,0,3.5289,78
3.2324,0,3.2324,79
3.0059,0,3.0059,80
-2.967,0,2.967,81
2.6334,0,2.6334,82
-2.5049,0,2.5049,83
